"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","FIDELITY INVESTMENT FUNDS - FIDELITY SUSTAINABLE ASIA EQUITY FUND","BUY","42,781","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","GHISALLO MASTER FUND LP","BUY","95,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","HDFC LIFE INSURANCE COMPANY LIMITED","BUY","1,99,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","HSBC MUTUAL FUND","BUY","5,15,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","ITI MUTUAL FUND","BUY","1,50,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED","BUY","1,99,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","KOTAK MAHINDRA MUTUAL FUND","BUY","50,00,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","95,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","MOTILAL OSWAL MUTUAL FUND","BUY","2,15,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL","BUY","4,00,000","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","ORANGE CLOVE INVESTMENTS B.V.","SELL","1,09,80,033","1,190.50",
"11-AUG-2025","HOMEFIRST","Home First Fin Co Ind Ltd","TATA AIG GENERAL INSURANCE COMPANY LIMITED","BUY","6,99,000","1,190.50",
